snapshot_at_utc	benchmark_commit	runner_sha256	target	target_index	phase	observed_epoch_seconds	load1	load5	load15	cpu_psi_some_avg10	cpu_psi_some_avg60	cpu_psi_some_avg300	cpu_psi_some_total
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	mortalscumbag	9	start	1788313693.724722	4.41	3.80	3.64	0.00	0.00	0.00	180118745
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	mortalscumbag	9	end	1788313742.998338	5.00	4.05	3.74	0.04	0.17	0.05	180674427
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	ys	10	start	1788313742.998777	5.00	4.05	3.74	0.04	0.17	0.05	180674427
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	ys	10	end	1788313783.379873	5.77	4.37	3.86	0.00	0.08	0.04	180948432
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	bira	11	start	1788313783.380261	5.77	4.37	3.86	0.00	0.08	0.04	180948432
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	bira	11	end	1788313824.405772	4.95	4.35	3.88	0.08	0.13	0.06	181122282
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	pure	12	start	1788313824.406175	4.95	4.35	3.88	0.08	0.13	0.06	181122282
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	pure	12	end	1788313863.684884	6.83	4.82	4.05	0.01	0.10	0.06	181298928
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	powerlevel10k-pure	13	start	1788313863.685442	6.83	4.82	4.05	0.01	0.10	0.06	181298928
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	powerlevel10k-pure	13	end	1788313901.151175	7.75	5.44	4.30	0.00	0.07	0.06	181565638
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	powerlevel10k-fallback	14	start	1788313901.151563	7.75	5.44	4.30	0.00	0.07	0.06	181565638
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	powerlevel10k-fallback	14	end	1788313938.080155	6.48	5.36	4.31	0.01	0.05	0.06	181840856
