snapshot_at_utc	omz_commit	metric	target	count	incomplete_results	query
2026-08-27T16:51:14Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	darkblood	102	false	"ZSH_THEME=\"darkblood\""
2026-08-27T16:51:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	daveverwer	69	false	"ZSH_THEME=\"daveverwer\""
2026-08-27T16:51:28Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dieter	50	false	"ZSH_THEME=\"dieter\""
2026-08-27T16:51:35Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dogenpunk	35	false	"ZSH_THEME=\"dogenpunk\""
2026-08-27T16:51:42Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dpoggi	108	false	"ZSH_THEME=\"dpoggi\""
2026-08-27T16:51:50Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dstufft	52	false	"ZSH_THEME=\"dstufft\""
2026-08-27T16:51:57Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dst	123	false	"ZSH_THEME=\"dst\""
2026-08-27T16:52:04Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	duellj	105	false	"ZSH_THEME=\"duellj\""
2026-08-27T16:52:11Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	eastwood	371	false	"ZSH_THEME=\"eastwood\""
2026-08-27T16:52:18Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	edvardm	46	false	"ZSH_THEME=\"edvardm\""
2026-08-27T16:52:26Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	emotty	16	false	"ZSH_THEME=\"emotty\""
2026-08-27T16:52:33Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	essembeh	60	false	"ZSH_THEME=\"essembeh\""
2026-08-27T16:52:40Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	evan	37	false	"ZSH_THEME=\"evan\""
2026-08-27T16:52:47Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fino-time	169	false	"ZSH_THEME=\"fino-time\""
2026-08-27T16:52:55Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fino	178	false	"ZSH_THEME=\"fino\""
2026-08-27T16:53:02Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fishy	137	false	"ZSH_THEME=\"fishy\""
2026-08-27T16:53:09Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	flazz	81	false	"ZSH_THEME=\"flazz\""
2026-08-27T16:53:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fletcherm	40	false	"ZSH_THEME=\"fletcherm\""
2026-08-27T16:53:23Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fox	81	false	"ZSH_THEME=\"fox\""
2026-08-27T16:53:31Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	frisk	97	false	"ZSH_THEME=\"frisk\""
2026-08-27T16:53:38Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	frontcube	50	false	"ZSH_THEME=\"frontcube\""
2026-08-27T16:53:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	fwalch	62	false	"ZSH_THEME=\"fwalch\""
2026-08-27T16:53:52Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gallifrey	79	false	"ZSH_THEME=\"gallifrey\""
2026-08-27T16:54:00Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gallois	166	false	"ZSH_THEME=\"gallois\""
2026-08-27T16:54:07Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	garyblessington	44	false	"ZSH_THEME=\"garyblessington\""
2026-08-27T16:54:14Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gentoo	330	false	"ZSH_THEME=\"gentoo\""
2026-08-27T16:54:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	geoffgarside	104	false	"ZSH_THEME=\"geoffgarside\""
2026-08-27T16:54:28Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gianu	73	false	"ZSH_THEME=\"gianu\""
2026-08-27T16:54:36Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gnzh	397	false	"ZSH_THEME=\"gnzh\""
2026-08-27T16:54:43Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	gozilla	126	false	"ZSH_THEME=\"gozilla\""
2026-08-27T16:54:50Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	half-life	242	false	"ZSH_THEME=\"half-life\""
2026-08-27T16:54:57Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	humza	6	false	"ZSH_THEME=\"humza\""
2026-08-27T16:55:04Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	imajes	21	false	"ZSH_THEME=\"imajes\""
2026-08-27T16:55:11Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	intheloop	97	false	"ZSH_THEME=\"intheloop\""
2026-08-27T16:55:19Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	itchy	19	false	"ZSH_THEME=\"itchy\""
2026-08-27T16:55:26Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jaischeema	20	false	"ZSH_THEME=\"jaischeema\""
2026-08-27T16:55:33Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jbergantine	25	false	"ZSH_THEME=\"jbergantine\""
2026-08-27T16:55:40Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jispwoso	61	false	"ZSH_THEME=\"jispwoso\""
2026-08-27T16:55:47Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jnrowe	58	false	"ZSH_THEME=\"jnrowe\""
2026-08-27T16:55:54Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jonathan	326	false	"ZSH_THEME=\"jonathan\""
2026-08-27T16:56:01Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	josh	51	false	"ZSH_THEME=\"josh\""
2026-08-27T16:56:08Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jreese	70	false	"ZSH_THEME=\"jreese\""
2026-08-27T16:56:15Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	jtriley	47	false	"ZSH_THEME=\"jtriley\""
2026-08-27T16:56:23Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	juanghurtado	84	false	"ZSH_THEME=\"juanghurtado\""
2026-08-27T16:56:30Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	junkfood	34	false	"ZSH_THEME=\"junkfood\""
2026-08-27T16:56:37Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kafeitu	49	false	"ZSH_THEME=\"kafeitu\""
2026-08-27T16:56:44Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kardan	63	false	"ZSH_THEME=\"kardan\""
2026-08-27T16:56:51Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kennethreitz	58	false	"ZSH_THEME=\"kennethreitz\""
2026-08-27T16:56:58Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kiwi	15	false	"ZSH_THEME=\"kiwi\""
2026-08-27T16:57:05Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kolo	117	false	"ZSH_THEME=\"kolo\""
2026-08-27T16:57:12Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	kphoen	96	false	"ZSH_THEME=\"kphoen\""
2026-08-27T16:57:20Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	lambda	197	false	"ZSH_THEME=\"lambda\""
2026-08-27T16:57:27Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	linuxonly	33	false	"ZSH_THEME=\"linuxonly\""
2026-08-27T16:57:34Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	lukerandall	127	false	"ZSH_THEME=\"lukerandall\""
2026-08-27T16:57:41Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	macovsky-ruby	19	false	"ZSH_THEME=\"macovsky-ruby\""
2026-08-27T16:57:48Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	macovsky	30	false	"ZSH_THEME=\"macovsky\""
2026-08-27T16:57:55Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	maran	64	false	"ZSH_THEME=\"maran\""
2026-08-27T16:58:02Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mgutz	33	false	"ZSH_THEME=\"mgutz\""
2026-08-27T16:58:10Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mh	121	false	"ZSH_THEME=\"mh\""
2026-08-27T16:58:17Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	michelebologna	25	false	"ZSH_THEME=\"michelebologna\""
2026-08-27T16:58:24Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	miloshadzic	138	false	"ZSH_THEME=\"miloshadzic\""
2026-08-27T16:58:31Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	minimal	211	false	"ZSH_THEME=\"minimal\""
2026-08-27T16:58:38Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mira	17	false	"ZSH_THEME=\"mira\""
2026-08-27T16:58:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mlh	15	false	"ZSH_THEME=\"mlh\""
2026-08-27T16:58:54Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mortalscumbag	87	false	"ZSH_THEME=\"mortalscumbag\""
2026-08-27T16:59:01Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	mrtazz	89	false	"ZSH_THEME=\"mrtazz\""
2026-08-27T16:59:09Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	murilasso	40	false	"ZSH_THEME=\"murilasso\""
2026-08-27T16:59:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	muse	154	false	"ZSH_THEME=\"muse\""
2026-08-27T16:59:23Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	nanotech	92	false	"ZSH_THEME=\"nanotech\""
2026-08-27T16:59:30Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	nebirhos	44	false	"ZSH_THEME=\"nebirhos\""
2026-08-27T16:59:37Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	nicoulaj	118	false	"ZSH_THEME=\"nicoulaj\""
2026-08-27T16:59:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	norm	107	false	"ZSH_THEME=\"norm\""
2026-08-27T16:59:52Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	obraun	47	false	"ZSH_THEME=\"obraun\""
2026-08-27T16:59:59Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	oldgallois	5	false	"ZSH_THEME=\"oldgallois\""
2026-08-27T17:00:06Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	peepcode	31	false	"ZSH_THEME=\"peepcode\""
2026-08-27T17:00:13Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	philips	68	false	"ZSH_THEME=\"philips\""
2026-08-27T17:00:20Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	pmcgee	45	false	"ZSH_THEME=\"pmcgee\""
2026-08-27T17:00:28Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	pygmalion-virtualenv	13	false	"ZSH_THEME=\"pygmalion-virtualenv\""
2026-08-27T17:00:35Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	pygmalion	210	false	"ZSH_THEME=\"pygmalion\""
2026-08-27T17:00:42Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	random	1572	false	"ZSH_THEME=\"random\""
2026-08-27T17:00:49Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	re5et	54	false	"ZSH_THEME=\"re5et\""
2026-08-27T17:00:56Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	refined	364	false	"ZSH_THEME=\"refined\""
2026-08-27T17:01:04Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	rgm	14	false	"ZSH_THEME=\"rgm\""
2026-08-27T17:01:11Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	risto	133	false	"ZSH_THEME=\"risto\""
2026-08-27T17:01:18Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	rixius	11	false	"ZSH_THEME=\"rixius\""
2026-08-27T17:01:25Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	rkj-repos	107	false	"ZSH_THEME=\"rkj-repos\""
2026-08-27T17:01:32Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	rkj	14	false	"ZSH_THEME=\"rkj\""
2026-08-27T17:01:39Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	robbyrussell	21280	false	"ZSH_THEME=\"robbyrussell\""
2026-08-27T17:01:46Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sammy	36	false	"ZSH_THEME=\"sammy\""
2026-08-27T17:01:53Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	simonoff	31	false	"ZSH_THEME=\"simonoff\""
2026-08-27T17:02:01Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	simple	382	false	"ZSH_THEME=\"simple\""
2026-08-27T17:02:08Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	skaro	19	false	"ZSH_THEME=\"skaro\""
2026-08-27T17:02:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	smt	63	false	"ZSH_THEME=\"smt\""
2026-08-27T17:02:23Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	Soliah	48	false	"ZSH_THEME=\"Soliah\""
2026-08-27T17:02:32Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sonicradish	61	false	"ZSH_THEME=\"sonicradish\""
2026-08-27T17:02:40Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sorin	121	false	"ZSH_THEME=\"sorin\""
2026-08-27T17:02:47Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sporty_256	29	false	"ZSH_THEME=\"sporty_256\""
2026-08-27T17:02:55Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	steeef	248	false	"ZSH_THEME=\"steeef\""
2026-08-27T17:03:02Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	strug	81	false	"ZSH_THEME=\"strug\""
2026-08-27T17:03:09Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sunaku	52	false	"ZSH_THEME=\"sunaku\""
2026-08-27T17:03:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	sunrise	69	false	"ZSH_THEME=\"sunrise\""
2026-08-27T17:03:24Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	superjarin	33	false	"ZSH_THEME=\"superjarin\""
2026-08-27T17:03:31Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	suvash	35	false	"ZSH_THEME=\"suvash\""
2026-08-27T17:03:38Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	takashiyoshida	19	false	"ZSH_THEME=\"takashiyoshida\""
2026-08-27T17:03:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	terminalparty	67	false	"ZSH_THEME=\"terminalparty\""
2026-08-27T17:03:54Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	theunraveler	85	false	"ZSH_THEME=\"theunraveler\""
2026-08-27T17:04:01Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	tjkirch_mod	18	false	"ZSH_THEME=\"tjkirch_mod\""
2026-08-27T17:04:09Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	tjkirch	64	false	"ZSH_THEME=\"tjkirch\""
2026-08-27T17:04:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	tonotdo	59	false	"ZSH_THEME=\"tonotdo\""
2026-08-27T17:04:23Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	trapd00r	32	false	"ZSH_THEME=\"trapd00r\""
2026-08-27T17:04:30Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	wedisagree	98	false	"ZSH_THEME=\"wedisagree\""
2026-08-27T17:04:38Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	wexm	1	false	"ZSH_THEME=\"wexm\""
2026-08-27T17:04:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	wezm+	18	false	"ZSH_THEME=\"wezm+\""
2026-08-27T17:04:52Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	wezm	63	false	"ZSH_THEME=\"wezm\""
2026-08-27T17:04:59Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	wuffers	13	false	"ZSH_THEME=\"wuffers\""
2026-08-27T17:05:06Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	xiong-chiamiov-plus	204	false	"ZSH_THEME=\"xiong-chiamiov-plus\""
2026-08-27T17:05:13Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	xiong-chiamiov	65	false	"ZSH_THEME=\"xiong-chiamiov\""
2026-08-27T17:05:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	ys	1272	false	"ZSH_THEME=\"ys\""
2026-08-27T17:05:28Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	zhann	56	false	"ZSH_THEME=\"zhann\""
